Product_ID;Product_Category_Name;Product_Weight_Gr;Product_Length_Cm;Product_Height_Cm;Product_Width_Cm
1e9e8ef04dbcff4541ed26657ea517e5;Perfumery;225;16;10;14
3aa071139cb16b67ca9e5dea641aaa2f;Art;1000;30;18;20
96bd76ec8810374ed1b65e291975717f;Sports_Leisure;154;18;9;15
cef67bcfe19066a932b7673e239eb23d;Baby;371;26;4;26
9dc1a7de274444849c219cff195d0b71;Housewares;625;20;17;13
41d3672d4792049fa1779bb35283ed13;Musical_Instruments;200;38;5;11
732bd381ad09e530fe0a5f457d81becb;Cool_Stuff;18350;70;24;44
2548af3e6e77a690cf3eb6368e9ab61e;Furniture_Decor;900;40;8;40
37cc742be07708b53a98702e77a21a02;Home_Appliances;400;27;13;17
8c92109888e8cdf9d66dc7e463025574;Toys;600;17;10;12
14aa47b7fe5c25522b47b4b29c98dcb9;Bed_Bath_Table;1100;16;10;16
03b63c5fc16691530586ae020c345514;Baby;7150;50;19;45
cf55509ea8edaaac1d28fdb16e48fc22;Musical_Instruments;250;17;7;17
7bb6f29c2be57716194f96496660c7c2;Furniture_Decor;600;68;11;13
eb31436580a610f202c859463d8c7415;Construction_Tools_Safety;200;17;7;17
3bb7f144022e6732727d8d838a7b13b3;Sports_Leisure;800;16;2;11
6a2fb4dd53d2cdb88e0432f1284a004c;Perfumery;400;27;5;20
a1b71017a84f92fd8da4aeefba108a24;Computers_Accessories;900;40;15;20
a0736b92e52f6cead290e30b578413b6;Furniture_Decor;1700;100;7;15
f53103a77d9cf245e579ea37e5ec51f0;Bed_Bath_Table;500;16;10;16
1c1890ba1779090cd54008a3c3302921;Furniture_Decor;2550;29;24;45
518ef5de2c2b3a255e326a4594ba15d9;Bed_Bath_Table;800;36;8;16
e3e020af31d4d89d2602272b315c3f6e;Health_Beauty;75;21;7;13
8b41fbc2b984a12030090112324d1bc4;Baby;500;20;13;13
d03bd02af9fff4b98f1c972315e5e9ef;Furniture_Decor;1800;40;10;30
8ba4f2a4ae695d26e5626c1bf710975e;Housewares;900;50;5;50
f6574524b07d5bb753bab6f35abe2d06;Luggage_Accessories;3600;35;25;50
